name,latitude,longitude
CARPENTER (PHILO),41.78166,-87.6505615
SHERMAN (JOHN),41.7968705,-87.657378
CANAL ORIGINS,41.8429915,-87.66519
REYES (GUADALUPE),41.8564955,-87.6476645
BICKERDIKE (GEORGE) SQUARE,41.892288,-87.6647315
CLYBOURN (ARCHIBALD),41.9131855,-87.6522435
OZ,41.9209135,-87.6457015
NOETHLING (GRACE),41.930528,-87.653411
CHALLENGER,41.958104,-87.6570965
GILL (JOSEPH),41.952154,-87.6504125
BRONCHO BILLY,41.962779,-87.660593
PARK NO. 517,41.989803,-87.6558045
HARTIGAN (DAVID) BEACH,42.0026135,-87.6571385
"PRATT (GEORGE, PAUL) BEACH",42.005962,-87.6571715
SMITH (WENDELL),41.7139395,-87.6320605
PARK NO. 382,41.746147,-87.6442705
LELAND GIANTS,41.757005,-87.6410995
LILY GARDENS,41.763457,-87.6397935
EMERALD,41.7923545,-87.6442375
MALUS,41.7955305,-87.63455
METCALFE (RALPH),41.817824,-87.6272375
ASPEN,41.8171365,-87.624192
ARMOUR (PHILIP) SQUARE,41.833647,-87.633993
JONES (MARY RICHARDSON),41.8660935,-87.628964
WARD (A. MONTGOMERY),41.8938285,-87.642557
GOUDY (WILLIAM) SQUARE,41.9055895,-87.6268875
GOLDEN GATE,41.657915,-87.6114935
LANGLEY,41.689865,-87.605629
WASHINGTON (GEORGE),41.7939765,-87.6111035
COLEMAN (BESSIE),41.796434,-87.603556
ELLIS (SAMUEL),41.829182,-87.6102285
DUNBAR (PAUL LAURENCE),41.8402125,-87.6202805
BATTLE OF FORT DEARBORN,41.857807,-87.619249
PARK NO. 546,41.886017,-87.6176845
ADDAMS (JANE) MEML.,41.8925305,-87.6127
LAKE SHORE,41.8972385,-87.619537
CARVER (GEORGE WASHINGTON),41.6539365,-87.598422
CHESTNUT,41.767622,-87.589037
BEEHIVE,41.7825595,-87.59167
DOUGHERTY (DANIEL),41.7251485,-87.5626195
SOUTH SHORE CULTL. CTR.,41.7698935,-87.562891
KRAUSE (FRANCIS VERNON),41.702908,-87.536844
PARK NO. 566,41.75018,-87.54097
HIAWATHA,41.9440325,-87.826538
MULBERRY POINT,41.9881625,-87.8026625
NORMANDY,41.798409,-87.7887015
NORWOOD,41.986942,-87.79278
PARK NO. 528,41.777368,-87.7361515
AUGUSTA (CARPENTER),41.8985505,-87.73783
KELVYN (WILLIAM),41.9296375,-87.737983
CATALPA,41.814186,-87.7278375
SHEDD (JOHN G.),41.850197,-87.716776
HORNBEAM,41.861876,-87.720486
PARK NO. 414,41.902801,-87.734098
GRAND,41.901269,-87.714938
PARK-VIEW,41.9405755,-87.723207
JENSEN (CHRIST),41.965584,-87.7211265
KIWANIS,41.9731925,-87.7117895
GINKGO,41.86096,-87.7119265
SNAPPING TURTLE,41.89147,-87.704291
NEIGHBORS' GARDEN,41.927642,-87.7020445
HORNER (HENRY),41.9576475,-87.6964685
REVERE (PAUL),41.953051,-87.6920855
RIVER,41.9739555,-87.703726
GREEN BRIAR,41.99136,-87.696388
THILLENS,42.0046145,-87.7098875
WARREN (LAURENCE),42.002572,-87.6851625
"BLACKWELDER (I.S., GERTRUDE)",41.683394,-87.6707905
DREXEL (FRANCIS),41.7673975,-87.673261
CORNELL (PAUL) SQUARE,41.8021765,-87.670888
PARK NO. 520,41.898389,-87.6738125
COMMERCIAL CLUB PGD. of CHICAGO,41.89663,-87.6736375
PARK NO. 567,41.914295,-87.6830505
CHURCHILL FIELD,41.9144885,-87.676943
FILBERT,41.953527,-87.675068
MERRYMAN (THERON),41.95,-87.670509
ANDERSONVILLE,41.977133,-87.6692705
MATANKY (EUGENE),42.0074145,-87.680777
WHITE (WILLYE B.),42.0200025,-87.6709655
MAJOR TAYLOR BIKE TRAIL,41.680479,-87.643004
ADA (SAWYER GARRETT),41.6884565,-87.654409
RIDGE PARK WETLANDS,41.7202285,-87.6679765
FOSTER (J. FRANK),41.7412895,-87.659982
MURRAY (DAVID),41.760461,-87.667955
"KING (MARTIN LUTHER, JR.)",41.7550955,-87.6551145
BACK OF THE YARDS,41.8043685,-87.658175
PARK NO. 421,41.797382,-87.6456
DONOVAN (GEORGE),41.8281215,-87.648479
UNION,41.8838545,-87.6651775
PULASKI (CASIMER),41.9061085,-87.663304
ADAMS (GEORGE &#38; ADELE),41.9168175,-87.655078
SOUTH LAKEVIEW,41.9336735,-87.6616815
LAZARUS (EMMA),42.00424,-87.6632035
FERNWOOD PKWY.,41.714316,-87.6335785
MEMORIAL,41.7610825,-87.6293935
TAYLOR (ROBERT ROCHON),41.8078125,-87.627331
SINTIC (GREGORY),41.8425085,-87.641161
DEARBORN (HENRY),41.870969,-87.629085
DURSO (JOHN),41.8982085,-87.6396005
MARIANO (LOUIS),41.901846,-87.6281265
BROWN (SIDNEY) MEML.,41.738815,-87.6082645
HANSBERRY (LORRAINE),41.7919175,-87.62029
POPLAR,41.820634,-87.6203825
BIRCH,41.8127745,-87.615252
CHICAGO WOMEN'S PARK AND GARDENS,41.8571765,-87.621507
PARK NO. 513,41.8644555,-87.6216935
OGDEN (WILLIAM) PLAZA,41.8902695,-87.6199355
PARK NO. 562,41.7144435,-87.576557
HOARD (EDISON),41.7637135,-87.598473
BUTTERNUT,41.7986555,-87.5970455
CORNELL (PAUL),41.7960325,-87.585012
CHAMBERLAIN TRIANGLE,41.817149,-87.5991935
BESSEMER (HENRY),41.7318495,-87.557752
MANN (JAMES),41.657335,-87.5507655
VETERANS' MEMORIAL,41.7181715,-87.555848
RUSSELL (MARTIN) SQUARE,41.7433675,-87.549098
BURNHAM GREENWAY,41.699095,-87.5293795
RUTHERFORD SAYRE,41.920329,-87.7978895
HALE (NATHAN),41.779773,-87.7788005
KINZIE (JOHN) PKWY.,41.887843,-87.7578715
CRAGIN,41.92821,-87.757788
MOORE (MAURICE),41.87805,-87.752371
COTTONWOOD,41.8834245,-87.75255
KILBOURN,41.9443925,-87.7384585
MAYFAIR,41.9631555,-87.741989
SAUGANASH,41.988393,-87.737292
NINEBARK,41.861065,-87.723486
OHIO &#38; HARDING,41.892018,-87.7244115
PARK NO. 514,41.90724,-87.7183165
BEILFUSS (A.W.),41.91244,-87.723278
MARQUETTE (JACQUES),41.7680265,-87.70284
KELLY (EDWARD),41.8186525,-87.6928335
LONDON (LOUIS),41.857378,-87.7117515
DOUGLAS (STEPHEN),41.860929,-87.69936
PARK NO. 432,41.896175,-87.710769
DE BURGOS (JULIA),41.9139975,-87.704511
KENNEDY (DENNIS),41.687205,-87.6834735
WOLCOTT (ALEXANDER),41.7742285,-87.671017
MICEK (FRANK),41.797291,-87.6780215
CANALPORT RIVERWALK,41.8426905,-87.668756
SAIN (HARRY),41.880025,-87.6880335
STARR (ELLEN GATES),41.883558,-87.68477
SENIOR CITIZENS MEML.,41.9230245,-87.68559
WALSH (JOHN),41.9136805,-87.668419
KLEIN (LOIS),41.94638,-87.67351
POTTAWATTOMIE,42.0157895,-87.677622
PARK NO. 518,42.0224335,-87.67496
BRAINERD,41.7277145,-87.654323
MARSHFIELD,41.7354565,-87.6648835
PARK NO. 437,41.7906295,-87.659324
WILSON (JOHN) COMM. CTR.,41.8353535,-87.655603
PARK NO. 536,41.907388,-87.6624005
TREBES,41.922117,-87.657746
JONQUIL,41.928538,-87.6547035
WENDT (KENNETH),41.9433835,-87.647152
ASTER,41.966616,-87.655815
D'ELIA (AILEEN),41.997556,-87.663321
FARGO (JAMES) BEACH,42.0171415,-87.662894
LYLE (JOHN),41.7534255,-87.6397155
AUBURN,41.752563,-87.636598
HARRIS (RYAN) MEMORIAL,41.7707315,-87.639986
PARK NO. 527,41.781589,-87.6292365
LOWE (SAMUEL),41.798929,-87.6409825
"TAYLOR-LAURIDSEN (JOHN, EMIL)",41.8182825,-87.643089
WENTWORTH (JOHN) GARDENS,41.8254615,-87.63213
STATEWAY,41.826607,-87.6278155
MCKEON (JOSEPH),41.829275,-87.6415435
WILLIAMS (DANIEL HALE),41.8430245,-87.6283485
PARK NO. 540,41.8483215,-87.6290245
PRITZKER,41.8773985,-87.628226
COLISEUM,41.862141,-87.626195
HERITAGE GREEN,41.8796295,-87.6435185
